Incidents_id,CR_number,Dispatch_date_time,Location_id,,Incident_offense:,,,,
25,Crime Against Society,,,90G,Liquor Law Violations,,,,
26,Crime Against Society,,,90Z,All Other Offenses,,,,
27,Crime Against Person,,,13B,Simple Assault,,,,
28,Other,,,90Z,All Other Offenses,,,,
29,Crime Against Property,,,23F,Theft From Motor Vehicle,,,,
30,Crime Against Property,,,23C,Shoplifting,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Offenses: ,,,,,,,,,
offense_code:,crime_name_3,incident_id,,,,,,,
2399,LOST PROPERTY,201087096,,,,,,,
2303,DRIVING UNDER THE INFLUENCE LIQUOR,201087097,,,,,,,
5202,RECOVERED PROPERTY - OTHER,201087097,,,,,,,
5707,SUDDEN DEATH,201087097,,,,,,,
1315,DRUGS - HEROIN - (DESCRIBE OFFENSE),201087100,,,,,,,
3562,ROBBERY - STREET-STRONG-ARM,201087102,,,,,,,
5311,DRIVING UNDER THE INFLUENCE LIQUOR,201087104,,,,,,,
1313,ASSAULT - SIMPLE,201087108,,,,,,,
5707,POLICE INFORMATION,201087119,,,,,,,
9199,DRIVING UNDER THE INFLUENCE LIQUOR,201087133,,,,,,,
2602,DRUGS - MARIJUANA - POSSESS,201087133,,,,,,,
3550,DRUGS - MARIJUANA - POSSESS,201087135,,,,,,,
2903,DRUGS - HEROIN - (DESCRIBE OFFENSE),201087136,,,,,,,
3512,ASSAULT - AGGRAVATED - FAMILY-OTHER WEAPON,201087139,,,,,,,
3582,OBSTRUCT POLICE - RESISTING OFFICER,201087143,,,,,,,
3562,DRUGS - MARIJUANA - POSSESS,201087143,,,,,,,
3615,ASSAULT - 2ND DEGREE,201087148,,,,,,,
5311,RECOVERED PROPERTY - MONT CO.,201087148,,,,,,,
2589,DRIVING UNDER THE INFLUENCE LIQUOR,201087150,,,,,,,
4199,LIQUOR (DESCRIBE OFFENSE),201087152,,,,,,,
2903,DRIVING UNDER THE INFLUENCE LIQUOR,201087158,,,,,,,
2601,ASSAULT - AGGRAVATED - FAMILY-OTHER WEAPON,201087161,,,,,,,
2999,LOST PROPERTY,201087163,,,,,,,
1210,LARCENY - FROM AUTO,201087164,,,,,,,
3699,POLICE INFORMATION,201087164,,,,,,,
1399,LARCENY - FROM AUTO,201087165,,,,,,,
1399,JUVENILE - RUNAWAY,201087167,,,,,,,
9106,FORGERY - PASS FORGED,201087171,,,,,,,
3615,AUTO THEFT - VEHICLE THEFT,201087174,,,,,,,
9199,MENTAL ILLNESS,201087174,,,,,,,
